SchoolID,StudentID,STRATUM,StudentBIrthMonth,StudentBirthYear,Gender,OwnRoom,ComputerLaptopPhoneForSchool,EducationalApps,OwnPhonewithInternet,InternetAccess,CarsVansOrTrucks,MopedOrMotorcycles,RoomsWBathShower,RoomsWFlushToilet,MusicalInstruments,ArtWorks,VideoGame,SmartTV,Screens,TVs,PCs,LaptopNotebook,Tablets,EbookReader,PhoneWInternet
60800070,60801487,PHL - stratum 04: REGION 4A,November,2006,Female,Yes,Yes,Yes,Yes,Yes,One,Two,One,None,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-Two,Five,1 or 2,1 or 2,1 or 2,1 or 2,None,1 or 2
60800085,60801488,PHL - stratum 13: REGION 12,May,2006,Female,Yes,Yes,No,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,None,1 or 2,None
60800173,60801489,PHL - stratum 14: NCR,September,2006,Female,No,Yes,Yes,Yes,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Five,1 or 2,None,1 or 2,None,None,1 or 2
60800050,60801490,PHL - stratum 14: NCR,February,2006,Male,No,Yes,Yes,Yes,Yes,None,Two,None,One,Three or more,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Five,1 or 2,None,1 or 2,1 or 2,None,1 or 2
60800036,60801491,PHL - stratum 04: REGION 4A,October,2006,Female,No,No,No,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800035,60801492,PHL - stratum 09: REGION 8,August,2006,Female,Yes,Yes,Yes,No,Yes,None,None,Three or more,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,One,1 or 2,I don't know.,I don't know.,I don't know.,None,1 or 2
60800177,60801493,PHL - stratum 03: REGION 3,February,2006,Female,Yes,Yes,Yes,Yes,Yes,Two,Two,Two,Two,Two,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-Two,More than 10,03-May,1 or 2,1 or 2,03-May,None,More than 5
60800151,60801494,PHL - stratum 15: CAR,October,2006,Male,Yes,Yes,Yes,Yes,Yes,Three or more,None,One,None,None,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,6 to 10,1 or 2,1 or 2,1 or 2,1 or 2,None,03-May
60800101,60801495,PHL - stratum 06: REGION 5,March,2006,Male,Yes,Yes,No,Yes,Yes,None,None,One,None,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-One",Philippines :Smart TV-One,One,1 or 2,None,1 or 2,None,None,1 or 2
60800172,60801496,PHL - stratum 07: REGION 6,November,2006,Female,Yes,Yes,No,Yes,No,Two,No Response,No Response,No Response,No Response,No Response,Missing,Missing,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800028,60801497,PHL - stratum 08: REGION 7,March,2006,Male,Yes,No,No,Yes,No,None,One,One,One,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,6 to 10,None,None,None,None,None,More than 5
60800153,60801498,PHL - stratum 03: REGION 3,May,2006,Male,No,No,No,Yes,Yes,None,Two,One,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,None,1 or 2,None,03-May
60800017,60801499,PHL - stratum 01: REGION 1,February,2006,Male,No,No,Yes,Yes,Yes,None,One,One,None,None,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Two,1 or 2,No Response,1 or 2,None,03-May,03-May
60800010,60801500,PHL - stratum 07: REGION 6,June,2006,Male,Yes,No,No,Yes,Yes,None,One,Two,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Two,1 or 2,No Response,None,1 or 2,None,1 or 2
60800161,60801501,PHL - stratum 09: REGION 8,September,2006,Female,Yes,Yes,No,Yes,Yes,None,One,None,None,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Three,1 or 2,None,None,1 or 2,None,03-May
60800053,60801502,PHL - stratum 04: REGION 4A,May,2006,Female,No,No,Yes,Yes,Yes,None,Two,None,None,One,Two,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Five,1 or 2,None,1 or 2,1 or 2,None,03-May
60800119,60801503,PHL - stratum 15: CAR,September,2006,Male,No,No,Yes,Yes,Yes,No Response,No Response,No Response,No Response,No Response,No Response,Missing,Missing,One,1 or 2,None,1 or 2,None,None,1 or 2
60800141,60801504,PHL - stratum 05: REGION 4B,April,2006,Female,Yes,Yes,Yes,No,Yes,Three or more,Two,Three or more,One,No Response,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,One,None,None,None,1 or 2,None,1 or 2
60800181,60801505,PHL - stratum 06: REGION 5,April,2006,Male,Yes,Yes,Yes,Yes,Yes,None,Two,One,One,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,1 or 2,1 or 2,None,1 or 2
60800057,60801506,PHL - stratum 01: REGION 1,May,2006,Male,No,No,No,Yes,No,None,None,None,None,One,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Two,None,None,None,None,None,None
60800080,60801507,PHL - stratum 14: NCR,November,2006,Male,No,Yes,Yes,Yes,Yes,None,None,Three or more,Three or more,None,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-Two,6 to 10,1 or 2,None,1 or 2,None,None,03-May
60800065,60801508,PHL - stratum 12: REGION 11,July,2006,Female,No,No,No,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,Two,1 or 2,None,1 or 2,None,1 or 2,1 or 2
60800164,60801510,PHL - stratum 14: NCR,February,2006,Female,No,Yes,Yes,Yes,Yes,None,None,One,None,One,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Four,1 or 2,1 or 2,More than 5,1 or 2,I don't know.,More than 5
60800042,60801511,PHL - stratum 10: REGION 9,February,2006,Female,No,No,No,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800133,60801512,PHL - stratum 04: REGION 4A,September,2006,Female,No,Yes,Yes,Yes,Yes,None,One,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Five,1 or 2,None,1 or 2,None,None,1 or 2
60800001,60801513,PHL - stratum 11: REGION 10,February,2006,Male,No,No,No,No,No,None,None,None,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,There are no <digital devices> with screens.,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip,Valid Skip
60800122,60801515,PHL - stratum 02: REGION 2,January,2006,Male,Yes,No,Yes,Yes,No,None,One,Two,One,None,Three or more,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,6 to 10,None,I don't know.,1 or 2,None,None,03-May
60800075,60801516,PHL - stratum 11: REGION 10,August,2006,Female,No,Yes,No,No,No,None,Two,One,None,None,None,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-One,One,1 or 2,None,1 or 2,None,None,1 or 2
60800054,60801517,PHL - stratum 04: REGION 4A,January,2006,Female,No,No,No,Yes,No,None,None,Two,One,One,One,"Philippines :Video game console (PlayStation, Xbox, etc.)-None",Philippines :Smart TV-None,Three,None,None,None,None,None,None
